siteID,labno,starttime,endtime,amount,type
ME96,NR6681SW,5/16/1998 4:00:00 AM,5/17/1998 4:00:00 AM,0.00, 
ME96,NR6681SW,5/17/1998 4:00:00 AM,5/18/1998 4:00:00 AM,0.00, 
ME96,NR6681SW,5/18/1998 4:00:00 AM,5/19/1998 4:00:00 AM,0.00, 
ME96,NR6681SW,5/19/1998 4:00:00 AM,5/19/1998 1:15:00 PM,0.00, 
ME96,NR6877SW,5/19/1998 1:15:00 PM,5/20/1998 4:00:00 AM,0.00, 
ME96,NR6877SW,5/20/1998 4:00:00 AM,5/21/1998 4:00:00 AM,0.00, 
ME96,NR6877SW,5/21/1998 4:00:00 AM,5/22/1998 4:00:00 AM,0.10,r
ME96,NR6877SW,5/22/1998 4:00:00 AM,5/23/1998 4:00:00 AM,0.05,r
ME96,NR6877SW,5/23/1998 4:00:00 AM,5/24/1998 4:00:00 AM,0.00, 
ME96,NR6877SW,5/24/1998 4:00:00 AM,5/25/1998 4:00:00 AM,0.00, 
ME96,NR6877SW,5/25/1998 4:00:00 AM,5/26/1998 4:00:00 AM,0.00, 
ME96,NR6877SW,5/26/1998 4:00:00 AM,5/26/1998 2:20:00 PM,0.00, 
ME96,NR7090SW,5/26/1998 2:30:00 PM,5/27/1998 4:00:00 AM,0.00, 
ME96,NR7090SW,5/27/1998 4:00:00 AM,5/28/1998 4:00:00 AM,0.00, 
ME96,NR7090SW,5/28/1998 4:00:00 AM,5/29/1998 4:00:00 AM,0.00, 
ME96,NR7090SW,5/29/1998 4:00:00 AM,5/30/1998 4:00:00 AM,0.65,r
ME96,NR7090SW,5/30/1998 4:00:00 AM,5/31/1998 4:00:00 AM,0.00, 
ME96,NR7090SW,5/31/1998 4:00:00 AM,6/1/1998 4:00:00 AM,0.45,r
ME96,NR7090SW,6/1/1998 4:00:00 AM,6/2/1998 4:00:00 AM,0.25,r
ME96,NR7090SW,6/2/1998 4:00:00 AM,6/2/1998 2:07:00 PM,0.00, 
ME96,NR7260SW,6/2/1998 2:20:00 PM,6/3/1998 4:00:00 AM,-9.00, 
ME96,NR7260SW,6/3/1998 4:00:00 AM,6/4/1998 4:00:00 AM,-9.00,r
ME96,NR7260SW,6/4/1998 4:00:00 AM,6/5/1998 4:00:00 AM,-9.00,r
ME96,NR7260SW,6/5/1998 4:00:00 AM,6/6/1998 4:00:00 AM,-9.00, 
ME96,NR7260SW,6/6/1998 4:00:00 AM,6/7/1998 4:00:00 AM,-9.00, 
ME96,NR7260SW,6/7/1998 4:00:00 AM,6/8/1998 4:00:00 AM,-9.00, 
ME96,NR7260SW,6/8/1998 4:00:00 AM,6/9/1998 4:00:00 AM,-9.00,r
ME96,NR7260SW,6/9/1998 4:00:00 AM,6/9/1998 1:10:00 PM,-9.00, 
ME96,NR7525SW,6/9/1998 1:10:00 PM,6/10/1998 4:00:00 AM,0.00, 
ME96,NR7525SW,6/10/1998 4:00:00 AM,6/11/1998 4:00:00 AM,0.00, 
ME96,NR7525SW,6/11/1998 4:00:00 AM,6/12/1998 4:00:00 AM,0.00, 
ME96,NR7525SW,6/12/1998 4:00:00 AM,6/13/1998 4:00:00 AM,0.05,r
ME96,NR7525SW,6/13/1998 4:00:00 AM,6/14/1998 4:00:00 AM,3.55,r
ME96,NR7525SW,6/14/1998 4:00:00 AM,6/15/1998 4:00:00 AM,3.54,r
ME96,NR7525SW,6/15/1998 4:00:00 AM,6/16/1998 4:00:00 AM,0.00, 
ME96,NR7525SW,6/16/1998 4:00:00 AM,6/16/1998 1:25:00 PM,0.59,r
ME96,NR7732SW,6/16/1998 1:25:00 PM,6/17/1998 4:00:00 AM,0.55,r
ME96,NR7732SW,6/17/1998 4:00:00 AM,6/18/1998 4:00:00 AM,0.37,r
ME96,NR7732SW,6/18/1998 4:00:00 AM,6/19/1998 4:00:00 AM,0.00, 
ME96,NR7732SW,6/19/1998 4:00:00 AM,6/20/1998 4:00:00 AM,0.45,r
ME96,NR7732SW,6/20/1998 4:00:00 AM,6/21/1998 4:00:00 AM,0.00, 
ME96,NR7732SW,6/21/1998 4:00:00 AM,6/22/1998 4:00:00 AM,0.00, 
ME96,NR7732SW,6/22/1998 4:00:00 AM,6/23/1998 4:00:00 AM,0.00, 
ME96,NR7732SW,6/23/1998 4:00:00 AM,6/23/1998 3:05:00 PM,0.05,r
ME96,NR7990SW,6/23/1998 3:05:00 PM,6/24/1998 4:00:00 AM,0.00, 
ME96,NR7990SW,6/24/1998 4:00:00 AM,6/25/1998 4:00:00 AM,-9.00, 
ME96,NR7990SW,6/25/1998 4:00:00 AM,6/26/1998 4:00:00 AM,-9.00, 
ME96,NR7990SW,6/26/1998 4:00:00 AM,6/27/1998 4:00:00 AM,-9.00, 
ME96,NR7990SW,6/27/1998 4:00:00 AM,6/28/1998 4:00:00 AM,-9.00, 
ME96,NR7990SW,6/28/1998 4:00:00 AM,6/29/1998 4:00:00 AM,-9.00, 
ME96,NR7990SW,6/29/1998 4:00:00 AM,6/30/1998 4:00:00 AM,-9.00, 
ME96,NR7990SW,6/30/1998 4:00:00 AM,6/30/1998 2:25:00 PM,-9.00, 
ME96,NR8113SW,6/30/1998 2:25:00 PM,7/1/1998 4:00:00 AM,0.00, 
ME96,NR8113SW,7/1/1998 4:00:00 AM,7/2/1998 4:00:00 AM,0.35,r
ME96,NR8113SW,7/2/1998 4:00:00 AM,7/3/1998 4:00:00 AM,0.00, 
ME96,NR8113SW,7/3/1998 4:00:00 AM,7/4/1998 4:00:00 AM,0.00, 
ME96,NR8113SW,7/4/1998 4:00:00 AM,7/5/1998 4:00:00 AM,0.00, 
ME96,NR8113SW,7/5/1998 4:00:00 AM,7/6/1998 4:00:00 AM,0.35,r
